holdover_h,eph_no_isl_m,eph_with_isl_m,uere_no_isl_m,uere_with_isl_m,cep_no_isl_m,cep_with_isl_m
44.2000,22.1500,1.1740,22.3603,3.2769,67.9417,9.9570
44.3000,22.2000,1.1760,22.4098,3.2776,68.0922,9.9591
44.4000,22.2500,1.1780,22.4594,3.2784,68.2427,9.9613
44.5000,22.3000,1.1800,22.5089,3.2791,68.3933,9.9635
44.6000,22.3500,1.1820,22.5584,3.2798,68.5438,9.9657
44.7000,22.4000,1.1840,22.6080,3.2805,68.6943,9.9679
44.8000,22.4500,1.1860,22.6575,3.2812,68.8448,9.9701
44.9000,22.5000,1.1880,22.7070,3.2820,68.9954,9.9723
45.0000,22.5500,1.1900,22.7566,3.2827,69.1459,9.9745
45.1000,22.6000,1.1920,22.8061,3.2834,69.2965,9.9767
45.2000,22.6500,1.1940,22.8557,3.2841,69.4470,9.9789
45.3000,22.7000,1.1960,22.9052,3.2849,69.5976,9.9811
45.4000,22.7500,1.1980,22.9548,3.2856,69.7481,9.9833
45.5000,22.8000,1.2000,23.0043,3.2863,69.8987,9.9855
45.6000,22.8500,1.2020,23.0539,3.2871,70.0493,9.9878
45.7000,22.9000,1.2040,23.1035,3.2878,70.1999,9.9900
45.8000,22.9500,1.2060,23.1530,3.2885,70.3505,9.9922
45.9000,23.0000,1.2080,23.2026,3.2893,70.5011,9.9944
46.0000,23.0500,1.2100,23.2522,3.2900,70.6517,9.9967
46.1000,23.1000,1.2120,23.3017,3.2907,70.8023,9.9989
46.2000,23.1500,1.2140,23.3513,3.2915,70.9529,10.0011
46.3000,23.2000,1.2160,23.4009,3.2922,71.1035,10.0034
46.4000,23.2500,1.2180,23.4504,3.2930,71.2541,10.0056
