lat,lon,sdcm_factor,sdcm_zone,uere_autonomous_m,uere_combined_m,uere_sdcm_m,cep_autonomous_m,cep_combined_m,cep_sdcm_m
46.0,94.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,96.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,98.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,100.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,102.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,104.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,106.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,108.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,110.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,112.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,114.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,116.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,118.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,120.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,122.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,124.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,126.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,128.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,130.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,132.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,134.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,136.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,138.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,140.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,142.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,144.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,146.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,148.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,150.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,152.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
46.0,154.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
