time_s,time_h,Vladimir,Zheleznogorsk,Khabarovsk,Murmansk,Novosibirsk,Vladivostok,Yakutsk,Minsk,Almaty,Urumqi,Delhi,Yangon,Jakarta,Tehran,Johannesburg,Nairobi,Luanda,Havana,Caracas,Buenos_Aires
49800.0,13.8333,11,9,7,12,9,8,10,10,8,8,4,5,2,8,4,6,5,4,4,5
50400.0,14.0,10,9,5,13,12,5,13,8,4,6,6,5,4,5,4,6,3,5,4,4
51000.0,14.1667,10,10,7,12,10,7,8,9,7,6,5,3,4,6,4,5,4,4,4,6
51600.0,14.3333,8,8,8,12,9,6,13,11,6,6,4,6,4,5,4,4,4,4,4,3
52200.0,14.5,10,10,7,11,10,6,12,9,5,6,6,4,4,4,5,3,3,4,4,5
52800.0,14.6667,12,11,8,12,9,7,11,9,6,6,4,3,3,5,5,3,4,4,6,7
53400.0,14.8333,9,9,6,12,10,5,13,8,6,8,5,4,6,3,4,4,3,5,5,5
54000.0,15.0,12,10,7,12,10,8,9,10,6,5,4,3,4,5,6,4,5,4,4,8
54600.0,15.1667,10,9,7,12,10,6,11,9,6,8,4,5,4,5,6,4,4,6,4,5
55200.0,15.3333,9,12,6,11,10,6,13,9,6,5,6,6,6,5,5,3,4,4,4,7
55800.0,15.5,11,10,8,11,8,6,8,8,6,7,4,4,3,7,4,5,7,3,4,6
56400.0,15.6667,9,8,7,11,9,6,14,9,6,6,6,6,4,6,6,5,4,6,3,4
57000.0,15.8333,10,11,8,12,10,6,9,9,6,4,5,5,4,5,4,5,4,4,3,5
57600.0,16.0,12,9,7,12,9,8,12,10,8,7,5,5,4,8,4,5,4,4,4,4
58200.0,16.1667,9,10,6,13,11,5,12,8,4,6,6,5,4,5,4,4,3,6,4,5
58800.0,16.3333,10,11,8,12,9,8,8,8,8,6,4,3,2,7,5,4,4,4,5,5
59400.0,16.5,8,9,8,10,9,5,13,9,6,7,4,5,4,5,4,4,3,5,4,5
60000.0,16.6667,11,11,7,11,9,7,11,9,5,5,5,4,5,3,5,3,4,5,4,5
60600.0,16.8333,10,10,8,12,10,6,11,10,6,6,4,4,4,6,6,3,5,4,6,5
61200.0,17.0,9,9,6,12,9,4,13,8,6,7,4,4,7,4,4,4,3,4,4,5
61800.0,17.1667,10,11,8,12,9,7,8,9,6,5,5,4,4,5,6,4,7,4,4,8
62400.0,17.3333,9,9,7,10,9,6,13,9,7,8,4,5,4,7,6,5,4,6,4,5
63000.0,17.5,9,12,6,12,10,6,13,10,5,5,5,4,5,5,6,5,5,4,4,7
63600.0,17.6667,11,10,8,13,9,7,9,8,8,8,4,5,3,8,4,5,6,4,4,6
64200.0,17.8333,9,9,6,12,11,5,13,9,5,6,7,6,4,5,5,7,4,6,3,4
64800.0,18.0,11,12,8,12,9,6,10,9,7,6,5,5,4,6,4,5,4,3,3,5
65400.0,18.1667,10,9,7,11,9,7,13,11,7,6,5,6,4,6,5,3,4,4,5,3
66000.0,18.3333,9,10,6,13,10,5,12,8,4,6,7,5,4,5,6,3,3,5,4,5
66600.0,18.5,11,12,7,12,9,8,8,7,8,7,4,3,3,5,4,3,4,4,7,7
67200.0,18.6667,9,9,6,12,9,5,12,9,5,9,4,4,5,5,4,4,4,4,6,5
67800.0,18.8333,12,11,6,12,8,8,11,10,6,5,4,3,4,4,5,3,5,4,4,8
68400.0,19.0,10,9,8,11,10,6,11,9,6,8,5,5,4,5,5,3,4,5,6,5
69000.0,19.1667,9,10,5,12,9,6,13,10,6,6,5,5,7,4,4,3,4,4,4,5
69600.0,19.3333,11,11,8,11,9,6,6,9,6,6,4,4,4,6,4,5,6,3,3,6
70200.0,19.5,9,9,6,11,9,6,14,9,6,8,5,6,5,6,6,6,5,5,4,4
70800.0,19.6667,10,11,7,12,10,6,11,10,5,4,5,5,4,5,4,5,4,4,3,5
71400.0,19.8333,11,9,7,12,9,8,10,10,8,8,4,5,2,8,4,6,5,4,4,5
72000.0,20.0,10,9,6,13,12,5,13,8,4,6,6,5,4,5,4,5,2,5,4,4
72600.0,20.1667,10,11,7,12,10,7,8,9,7,6,5,3,4,6,4,4,4,4,4,5
73200.0,20.3333,8,8,8,12,9,6,13,12,6,7,4,5,4,5,4,4,3,4,4,3
73800.0,20.5,10,10,7,11,11,6,12,9,5,6,6,4,4,4,5,3,3,4,4,5
74400.0,20.6667,12,11,8,12,9,7,10,9,6,6,4,3,3,5,5,3,4,5,6,7
75000.0,20.8333,9,9,6,12,10,5,13,8,6,8,5,4,6,3,4,4,3,5,5,5
75600.0,21.0,12,10,7,12,10,8,9,10,6,5,4,3,5,4,6,4,6,4,4,8
76200.0,21.1667,10,9,7,12,10,6,11,9,6,8,4,5,4,6,6,4,4,6,4,5
76800.0,21.3333,8,12,6,11,10,5,13,9,6,5,6,6,6,5,5,4,4,4,4,7
77400.0,21.5,11,10,8,11,8,7,8,8,6,7,4,4,3,7,4,5,7,3,4,6
78000.0,21.6667,9,8,7,12,9,6,14,10,6,6,6,6,4,6,6,6,4,6,3,4
78600.0,21.8333,10,11,8,12,10,6,9,8,6,4,5,5,4,5,5,5,4,4,3,5
79200.0,22.0,12,9,7,13,9,8,11,10,8,7,5,5,3,7,4,5,4,4,4,4
79800.0,22.1667,9,10,6,13,11,5,12,7,4,6,6,5,4,5,4,5,3,6,4,5
80400.0,22.3333,10,11,8,12,9,8,9,8,8,7,5,3,2,7,5,4,4,4,6,5
81000.0,22.5,8,9,8,10,9,5,13,9,6,8,4,5,5,5,4,4,3,5,5,5
81600.0,22.6667,11,11,7,11,10,7,11,9,5,5,5,3,5,3,5,3,5,5,4,6
82200.0,22.8333,10,10,8,12,10,6,11,10,6,6,4,4,4,5,6,3,5,4,6,5
82800.0,23.0,9,9,6,11,9,4,13,8,6,7,4,4,7,4,4,4,4,4,4,5
83400.0,23.1667,10,11,9,12,9,6,8,9,6,5,4,4,5,6,6,4,7,4,4,8
84000.0,23.3333,9,10,7,10,10,6,13,9,8,8,4,5,3,7,6,5,5,6,4,5
84600.0,23.5,9,12,6,12,10,6,13,10,5,5,5,4,5,5,5,6,4,4,4,7
85200.0,23.6667,11,10,8,14,9,7,9,8,8,8,4,5,2,8,4,5,5,4,4,5
85800.0,23.8333,9,8,6,12,11,4,13,9,5,6,7,7,4,5,5,7,4,5,3,4
